âge,profession,état_civil,éducation,défaut,solde,prêt_logement,prêt_personnel,contact,jour,mois,durée,campagne,jours_précédents,précédent,résultat_précédent,souscription
58,cadre,marié,supérieur,non,2143,oui,non,inconnu,5,mai,261,1,-1,0,inconnu,non
44,technicien,célibataire,secondaire,non,29,oui,non,inconnu,5,mai,151,1,-1,0,inconnu,non
33,entrepreneur,marié,secondaire,non,2,oui,oui,inconnu,5,mai,76,1,-1,0,inconnu,non
47,ouvrier,marié,inconnu,non,1506,oui,non,inconnu,5,mai,92,1,-1,0,inconnu,non
33,inconnu,célibataire,inconnu,non,1,non,non,inconnu,5,mai,198,1,-1,0,inconnu,non
35,cadre,marié,supérieur,non,231,oui,non,inconnu,5,mai,139,1,-1,0,inconnu,non
28,cadre,célibataire,supérieur,non,447,oui,oui,inconnu,5,mai,217,1,-1,0,inconnu,non
42,entrepreneur,divorcé,supérieur,oui,2,oui,non,inconnu,5,mai,380,1,-1,0,inconnu,non
58,retraité,marié,primaire,non,121,oui,non,inconnu,5,mai,50,1,-1,0,inconnu,non
43,technicien,célibataire,secondaire,non,593,oui,non,inconnu,5,mai,55,1,-1,0,inconnu,non
41,administratif,divorcé,secondaire,non,270,oui,non,inconnu,5,mai,222,1,-1,0,inconnu,non
29,administratif,célibataire,secondaire,non,390,oui,non,inconnu,5,mai,137,1,-1,0,inconnu,non
53,technicien,marié,secondaire,non,6,oui,non,inconnu,5,mai,517,1,-1,0,inconnu,non
58,technicien,marié,inconnu,non,71,oui,non,inconnu,5,mai,71,1,-1,0,inconnu,non
57,services,marié,secondaire,non,162,oui,non,inconnu,5,mai,174,1,-1,0,inconnu,non
51,retraité,marié,primaire,non,229,oui,non,inconnu,5,mai,353,1,-1,0,inconnu,non
45,administratif,célibataire,inconnu,non,13,oui,non,inconnu,5,mai,98,1,-1,0,inconnu,non
57,ouvrier,marié,primaire,non,52,oui,non,inconnu,5,mai,38,1,-1,0,inconnu,non
60,retraité,marié,primaire,non,60,oui,non,inconnu,5,mai,219,1,-1,0,inconnu,non
33,services,marié,secondaire,non,0,oui,non,inconnu,5,mai,54,1,-1,0,inconnu,non
28,ouvrier,marié,secondaire,non,723,oui,oui,inconnu,5,mai,262,1,-1,0,inconnu,non
56,cadre,marié,supérieur,non,779,oui,non,inconnu,5,mai,164,1,-1,0,inconnu,non
32,ouvrier,célibataire,primaire,non,23,oui,oui,inconnu,5,mai,160,1,-1,0,inconnu,non
25,services,marié,secondaire,non,50,oui,non,inconnu,5,mai,342,1,-1,0,inconnu,non
40,retraité,marié,primaire,non,0,oui,oui,inconnu,5,mai,181,1,-1,0,inconnu,non
44,administratif,marié,secondaire,non,-372,oui,non,inconnu,5,mai,172,1,-1,0,inconnu,non
39,cadre,célibataire,supérieur,non,255,oui,non,inconnu,5,mai,296,1,-1,0,inconnu,non
52,entrepreneur,marié,secondaire,non,113,oui,oui,inconnu,5,mai,127,1,-1,0,inconnu,non
46,cadre,célibataire,secondaire,non,-246,oui,non,inconnu,5,mai,255,2,-1,0,inconnu,non
36,technicien,célibataire,secondaire,non,265,oui,oui,inconnu,5,mai,348,1,-1,0,inconnu,non
57,technicien,marié,secondaire,non,839,non,oui,inconnu,5,mai,225,1,-1,0,inconnu,non
49,cadre,marié,supérieur,non,378,oui,non,inconnu,5,mai,230,1,-1,0,inconnu,non
60,administratif,marié,secondaire,non,39,oui,oui,inconnu,5,mai,208,1,-1,0,inconnu,non
59,ouvrier,marié,secondaire,non,0,oui,non,inconnu,5,mai,226,1,-1,0,inconnu,non
51,cadre,marié,supérieur,non,10635,oui,non,inconnu,5,mai,336,1,-1,0,inconnu,non
57,technicien,divorcé,secondaire,non,63,oui,non,inconnu,5,mai,242,1,-1,0,inconnu,non
25,ouvrier,marié,secondaire,non,-7,oui,non,inconnu,5,mai,365,1,-1,0,inconnu,non
53,technicien,marié,secondaire,non,-3,non,non,inconnu,5,mai,1666,1,-1,0,inconnu,non
36,administratif,divorcé,secondaire,non,506,oui,non,inconnu,5,mai,577,1,-1,0,inconnu,non
37,administratif,célibataire,secondaire,non,0,oui,non,inconnu,5,mai,137,1,-1,0,inconnu,non
44,services,divorcé,secondaire,non,2586,oui,non,inconnu,5,mai,160,1,-1,0,inconnu,non
50,cadre,marié,secondaire,non,49,oui,non,inconnu,5,mai,180,2,-1,0,inconnu,non
60,ouvrier,marié,inconnu,non,104,oui,non,inconnu,5,mai,22,1,-1,0,inconnu,non
54,retraité,marié,secondaire,non,529,oui,non,inconnu,5,mai,1492,1,-1,0,inconnu,non
58,retraité,marié,inconnu,non,96,oui,non,inconnu,5,mai,616,1,-1,0,inconnu,non
36,administratif,célibataire,primaire,non,-171,oui,non,inconnu,5,mai,242,1,-1,0,inconnu,non
58,indépendant,marié,supérieur,non,-364,oui,non,inconnu,5,mai,355,1,-1,0,inconnu,non
44,technicien,marié,secondaire,non,0,oui,non,inconnu,5,mai,225,2,-1,0,inconnu,non
55,technicien,divorcé,secondaire,non,0,non,non,inconnu,5,mai,160,1,-1,0,inconnu,non
29,cadre,célibataire,supérieur,non,0,oui,non,inconnu,5,mai,363,1,-1,0,inconnu,non
54,ouvrier,marié,secondaire,non,1291,oui,non,inconnu,5,mai,266,1,-1,0,inconnu,non
48,cadre,divorcé,supérieur,non,-244,oui,non,inconnu,5,mai,253,1,-1,0,inconnu,non
32,cadre,marié,supérieur,non,0,oui,non,inconnu,5,mai,179,1,-1,0,inconnu,non
42,administratif,célibataire,secondaire,non,-76,oui,non,inconnu,5,mai,787,1,-1,0,inconnu,non
24,technicien,célibataire,secondaire,non,-103,oui,oui,inconnu,5,mai,145,1,-1,0,inconnu,non
38,entrepreneur,célibataire,supérieur,non,243,non,oui,inconnu,5,mai,174,1,-1,0,inconnu,non
38,cadre,célibataire,supérieur,non,424,oui,non,inconnu,5,mai,104,1,-1,0,inconnu,non
47,ouvrier,marié,inconnu,non,306,oui,non,inconnu,5,mai,13,1,-1,0,inconnu,non
40,ouvrier,célibataire,inconnu,non,24,oui,non,inconnu,5,mai,185,1,-1,0,inconnu,non
46,services,marié,primaire,non,179,oui,non,inconnu,5,mai,1778,1,-1,0,inconnu,non
32,administratif,marié,supérieur,non,0,oui,non,inconnu,5,mai,138,1,-1,0,inconnu,non
53,technicien,divorcé,secondaire,non,989,oui,non,inconnu,5,mai,812,1,-1,0,inconnu,non
57,ouvrier,marié,primaire,non,249,oui,non,inconnu,5,mai,164,1,-1,0,inconnu,non
33,services,marié,secondaire,non,790,oui,non,inconnu,5,mai,391,1,-1,0,inconnu,non
49,ouvrier,marié,inconnu,non,154,oui,non,inconnu,5,mai,357,1,-1,0,inconnu,non
51,cadre,marié,supérieur,non,6530,oui,non,inconnu,5,mai,91,1,-1,0,inconnu,non
60,retraité,marié,supérieur,non,100,non,non,inconnu,5,mai,528,1,-1,0,inconnu,non
59,cadre,divorcé,supérieur,non,59,oui,non,inconnu,5,mai,273,1,-1,0,inconnu,non
55,technicien,marié,secondaire,non,1205,oui,non,inconnu,5,mai,158,2,-1,0,inconnu,non
35,ouvrier,célibataire,secondaire,non,12223,oui,oui,inconnu,5,mai,177,1,-1,0,inconnu,non
57,ouvrier,marié,secondaire,non,5935,oui,oui,inconnu,5,mai,258,1,-1,0,inconnu,non
31,services,marié,secondaire,non,25,oui,oui,inconnu,5,mai,172,1,-1,0,inconnu,non
54,cadre,marié,secondaire,non,282,oui,oui,inconnu,5,mai,154,1,-1,0,inconnu,non
55,ouvrier,marié,primaire,non,23,oui,non,inconnu,5,mai,291,1,-1,0,inconnu,non
43,technicien,marié,secondaire,non,1937,oui,non,inconnu,5,mai,181,1,-1,0,inconnu,non
53,technicien,marié,secondaire,non,384,oui,non,inconnu,5,mai,176,1,-1,0,inconnu,non
44,ouvrier,marié,secondaire,non,582,non,oui,inconnu,5,mai,211,1,-1,0,inconnu,non
55,services,divorcé,secondaire,non,91,non,non,inconnu,5,mai,349,1,-1,0,inconnu,non
49,services,divorcé,secondaire,non,0,oui,oui,inconnu,5,mai,272,1,-1,0,inconnu,non
55,services,divorcé,secondaire,oui,1,oui,non,inconnu,5,mai,208,1,-1,0,inconnu,non
45,administratif,célibataire,secondaire,non,206,oui,non,inconnu,5,mai,193,1,-1,0,inconnu,non
47,services,divorcé,secondaire,non,164,non,non,inconnu,5,mai,212,1,-1,0,inconnu,non
42,technicien,célibataire,secondaire,non,690,oui,non,inconnu,5,mai,20,1,-1,0,inconnu,non
59,administratif,marié,secondaire,non,2343,oui,non,inconnu,5,mai,1042,1,-1,0,inconnu,oui
46,indépendant,marié,supérieur,non,137,oui,oui,inconnu,5,mai,246,1,-1,0,inconnu,non
